,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,all_add
0,1,5.1,3.5,1.4,0.2,Iris-setosa,10.2
1,2,4.9,3.0,1.4,0.2,Iris-setosa,9.5
2,3,4.7,3.2,1.3,0.2,Iris-setosa,9.4
3,4,4.6,3.1,1.5,0.2,Iris-setosa,9.399999999999999
4,5,5.0,3.6,1.4,0.2,Iris-setosa,10.2
5,6,5.4,3.9,1.7,0.4,Iris-setosa,11.4
6,7,4.6,3.4,1.4,0.3,Iris-setosa,9.700000000000001
7,8,5.0,3.4,1.5,0.2,Iris-setosa,10.1
8,9,4.4,2.9,1.4,0.2,Iris-setosa,8.9
9,10,4.9,3.1,1.5,0.1,Iris-setosa,9.6
10,11,5.4,3.7,1.5,0.2,Iris-setosa,10.8
11,12,4.8,3.4,1.6,0.2,Iris-setosa,9.999999999999998
12,13,4.8,3.0,1.4,0.1,Iris-setosa,9.299999999999999
13,14,4.3,3.0,1.1,0.1,Iris-setosa,8.5
14,15,5.8,4.0,1.2,0.2,Iris-setosa,11.2
15,16,5.7,4.4,1.5,0.4,Iris-setosa,12.000000000000002
16,17,5.4,3.9,1.3,0.4,Iris-setosa,11.000000000000002
17,18,5.1,3.5,1.4,0.3,Iris-setosa,10.3
18,19,5.7,3.8,1.7,0.3,Iris-setosa,11.5
19,20,5.1,3.8,1.5,0.3,Iris-setosa,10.7
20,21,5.4,3.4,1.7,0.2,Iris-setosa,10.7
21,22,5.1,3.7,1.5,0.4,Iris-setosa,10.700000000000001
22,23,4.6,3.6,1.0,0.2,Iris-setosa,9.399999999999999
23,24,5.1,3.3,1.7,0.5,Iris-setosa,10.599999999999998
24,25,4.8,3.4,1.9,0.2,Iris-setosa,10.299999999999999
25,26,5.0,3.0,1.6,0.2,Iris-setosa,9.799999999999999
26,27,5.0,3.4,1.6,0.4,Iris-setosa,10.4
27,28,5.2,3.5,1.5,0.2,Iris-setosa,10.399999999999999
28,29,5.2,3.4,1.4,0.2,Iris-setosa,10.2
29,30,4.7,3.2,1.6,0.2,Iris-setosa,9.7
30,31,4.8,3.1,1.6,0.2,Iris-setosa,9.7
31,32,5.4,3.4,1.5,0.4,Iris-setosa,10.700000000000001
